#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","CABPSV020001252.1",2,2844,"-",,,"HEP_00446800","VWU52504.1",946,"conserved protein, unknown function, partial"
"Un","CABPSV020001253.1",29,3338,"-",,,"HEP_00446900","VWU52505.1",1103,"conserved protein, unknown function, partial"
"Un","CABPSV020001254.1",632,1578,"-",,,"HEP_00447000","VWU52506.1",101,"flagellar outer arm dynein-associated protein, putative"
"Un","CABPSV020001255.1",240,2016,"-",,,"HEP_00447100","VWU52507.1",587,"inner membrane complex protein 1b, putative"
"Un","CABPSV020001256.1",493,3298,"-",,,"HEP_00447200","VWU52508.1",820,"conserved protein, unknown function, partial"
"Un","CABPSV020001257.1",2309,2794,"-",,,"HEP_00447300","VWU52509.1",161,"eukaryotic translation initiation factor 5A, putative"
"Un","CABPSV020001258.1",86,530,"-",,,"HEP_00447400","VWU52510.1",77,"ZIP domain-containing protein, putative, partial"
"Un","CABPSV020001259.1",1065,1979,"-",,,"HEP_00447500","VWU52511.1",304,"conserved protein, unknown function"
"Un","CABPSV020000126.1",1340,2350,"-",,,"HEP_00112700","VWU49189.1",276,"hemolysin III, putative"
"Un","CABPSV020000126.1",3516,5609,"-",,,"HEP_00112800","VWU49190.1",697,"conserved protein, unknown function"
"Un","CABPSV020000126.1",8692,10483,"-",,,"HEP_00112900","VWU49191.1",207,"methyltransferase, putative"
"Un","CABPSV020000126.1",13398,13853,"-",,,"HEP_00113000","VWU49192.1",151,"conserved protein, unknown function"
"Un","CABPSV020000126.1",15334,15822,"-",,,"HEP_00113100","VWU49193.1",162,"conserved protein, unknown function"
"Un","CABPSV020000126.1",17644,19083,"-",,,"HEP_00113200","VWU49194.1",479,"6-phosphogluconate dehydrogenase, decarboxylating, putative"
"Un","CABPSV020000126.1",20572,21270,"-",,,"HEP_00113300","VWU49195.1",232,"mitochondrial ribosomal protein S11 precursor, putative"
"Un","CABPSV020000126.1",22360,22845,"-",,,"HEP_00113400","VWU49196.1",161,"iron sulfur cluster assembly protein, putative"
"Un","CABPSV020000126.1",24392,24634,"-",,,"HEP_00113500","VWU49197.1",80,"hypothetical protein HEP_00113500"
"Un","CABPSV020000126.1",25298,27625,"-",,,"HEP_00113600","VWU49198.1",775,"aminopeptidase P, putative"
"Un","CABPSV020001260.1",752,2764,"-",,,"HEP_00447600","VWU52512.1",670,"cytosolic iron-sulfur protein assembly protein 1, putative"
"Un","CABPSV020001261.1",511,2409,"-",,,"HEP_00447700","VWU52513.1",632,"Rab3 GTPase-activating protein non-catalytic subunit, putative"
"Un","CABPSV020001262.1",648,1331,"-",,,"HEP_00447800","VWU52514.1",227,"eukaryotic translation initiation factor 4E, putative"
"Un","CABPSV020001263.1",2051,3094,"-",,,"HEP_00447900","VWU52515.1",260,"zinc finger protein, putative, partial"
"Un","CABPSV020001264.1",419,1391,"-",,,"HEP_00448000","VWU52516.1",284,"eukaryotic translation initiation factor 2 alpha subunit, putative"
"Un","CABPSV020001265.1",2,3269,"-",,,"HEP_00448100","VWU52517.1",1089,"DEAD box helicase, putative, partial"
"Un","CABPSV020001266.1",2,3242,"-",,,"HEP_00448200","VWU52518.1",1080,"conserved protein, unknown function, partial"
"Un","CABPSV020001267.1",1,3243,"-",,,"HEP_00448300","VWU52519.1",880,"protein transport protein Sec24A, partial"
"Un","CABPSV020001268.1",1767,2216,"-",,,"HEP_00448400","VWU52520.1",149,"nucleoside diphosphate kinase, putative"
"Un","CABPSV020001269.1",376,2820,"-",,,"HEP_00448500","VWU52521.1",814,"protein GCN20"
"Un","CABPSV020000127.1",6,1410,"-",,,"HEP_00113700","VWU49199.1",376,"hypothetical protein HEP_00113700, partial"
"Un","CABPSV020000127.1",3284,4486,"-",,,"HEP_00113800","VWU49200.1",400,"rhoptry-associated protein 2"
"Un","CABPSV020000127.1",5894,8002,"-",,,"HEP_00113900","VWU49201.1",702,"anaphase promoting complex subunit, putative"
"Un","CABPSV020000127.1",11173,14115,"-",,,"HEP_00114000","VWU49202.1",980,"chromosome assembly factor 1"
"Un","CABPSV020000127.1",15093,16147,"-",,,"HEP_00114100","VWU49203.1",255,"exported protein, unknown function"
"Un","CABPSV020000127.1",19328,20821,"-",,,"HEP_00114200","VWU49204.1",497,"thrombospondin-related anonymous protein"
"Un","CABPSV020000127.1",25734,27413,"-",,,"HEP_00114300","VWU49205.1",559,"conserved protein, unknown function"
"Un","CABPSV020001270.1",77,451,"-",,,"HEP_00448600","VWU52522.1",124,"conserved protein, unknown function"
"Un","CABPSV020001270.1",1052,2464,"-",,,"HEP_00448700","VWU52523.1",470,"RNA methyltransferase, putative"
"Un","CABPSV020001272.1",34,2414,"-",,,"HEP_00448900","VWU52525.1",793,"ribonuclease, putative, partial"
"Un","CABPSV020001273.1",1490,3046,"-",,,"HEP_00449000","VWU52526.1",382,"3-demethylubiquinone-9 3-methyltransferase, putative"
"Un","CABPSV020001274.1",272,2710,"-",,,"HEP_00449100","VWU52527.1",812,"protoporphyrinogen oxidase"
"Un","CABPSV020001275.1",2,3128,"-",,,"HEP_00449200","VWU52528.1",1041,"conserved protein, unknown function, partial"
"Un","CABPSV020001276.1",1019,2173,"-",,,"HEP_00449300","VWU52529.1",384,"pyruvate dehydrogenase E1 component subunit beta, putative"
"Un","CABPSV020001277.1",40,3148,"-",,,"HEP_00449400","VWU52530.1",990,"conserved protein, unknown function"
"Un","CABPSV020001278.1",2,2136,"-",,,"HEP_00449500","VWU52531.1",711,"conserved protein, unknown function, partial"
"Un","CABPSV020001279.1",67,696,"-",,,"HEP_00449600","VWU52532.1",97,"protein transport protein SEC20, putative, partial"
"Un","CABPSV020001279.1",1186,3147,"-",,,"HEP_00449700","VWU52533.1",516,"conserved protein, unknown function, partial"
"Un","CABPSV020000128.1",186,2159,"-",,,"HEP_00114400","VWU49206.1",657,"ABC transporter G family member 2, putative"
"Un","CABPSV020000128.1",3302,8047,"-",,,"HEP_00114500","VWU49207.1",1581,"conserved protein, unknown function"
"Un","CABPSV020000128.1",9668,12910,"-",,,"HEP_00114600","VWU49208.1",1080,"hypothetical protein HEP_00114600"
"Un","CABPSV020000128.1",13749,15223,"-",,,"HEP_00114700","VWU49209.1",374,"conserved protein, unknown function"
"Un","CABPSV020000128.1",16926,17411,"-",,,"HEP_00114800","VWU49210.1",161,"60S ribosomal protein L21"
"Un","CABPSV020000128.1",19635,20261,"-",,,"HEP_00114900","VWU49211.1",208,"basic transcription factor 3b, putative"
"Un","CABPSV020000128.1",22463,23668,"-",,,"HEP_00115000","VWU49212.1",401,"protein arginine N-methyltransferase 1"
"Un","CABPSV020000128.1",25215,27185,"-",,,"HEP_00115100","VWU49213.1",656,"dynein-associated protein, putative"
"Un","CABPSV020001280.1",2,1660,"-",,,"HEP_00449800","VWU52534.1",553,"SET domain protein, putative, partial"
"Un","CABPSV020001281.1",2,3092,"-",,,"HEP_00449900","VWU52535.1",1030,"cytosolic Fe-S cluster assembly factor NAR1, putative, partial"
"Un","CABPSV020001282.1",1582,3081,"-",,,"HEP_00450000","VWU52536.1",499,"PelOta protein homologue, putative"
"Un","CABPSV020001283.1",28,2834,"-",,,"HEP_00450100","VWU52537.1",629,"DEAD box helicase, putative, partial"
"Un","CABPSV020001284.1",36,1480,"-",,,"HEP_00450200","VWU52538.1",399,"eukaryotic initiation factor 4A"
"Un","CABPSV020001285.1",2,1220,"-",,,"HEP_00450300","VWU52539.1",405,"conserved protein, unknown function, partial"
"Un","CABPSV020001286.1",987,2426,"-",,,"HEP_00450400","VWU52540.1",479,"deubiquinating/deneddylating enzyme"
"Un","CABPSV020001287.1",697,3111,"-",,,"HEP_00450500","VWU52541.1",805,"phosphatase 2A regulatory subunit-related protein, putative, partial"
"Un","CABPSV020001288.1",3,2880,"-",,,"HEP_00450600","VWU52542.1",797,"conserved protein, unknown function, partial"
"Un","CABPSV020001289.1",1662,3094,"-",,,"HEP_00450700","VWU52543.1",476,"hypothetical protein HEP_00450700, partial"
"Un","CABPSV020000129.1",2,2928,"-",,,"HEP_00115200","VWU49214.1",975,"DNA repair protein RAD2, putative, partial"
"Un","CABPSV020000129.1",4872,6314,"-",,,"HEP_00115300","VWU49215.1",164,"cysteine desulfuration protein SufE"
"Un","CABPSV020000129.1",9529,11166,"-",,,"HEP_00115400","VWU49216.1",545,"pantothenate transporter, putative"
"Un","CABPSV020000129.1",13146,13707,"-",,,"HEP_00115500","VWU49217.1",106,"DNA-directed RNA polymerase III subunit RPC10, putative"
"Un","CABPSV020000129.1",15407,16822,"-",,,"HEP_00115600","VWU49218.1",471,"adenylosuccinate lyase, putative"
"Un","CABPSV020000129.1",17582,18866,"-",,,"HEP_00115700","VWU49219.1",326,"merozoite surface protein 4"
"Un","CABPSV020000129.1",21133,25854,"-",,,"HEP_00115800","VWU49220.1",1573,"kinesin-8, putative"
"Un","CABPSV020001290.1",2,1941,"-",,,"HEP_00450800","VWU52544.1",646,"conserved protein, unknown function, partial"
"Un","CABPSV020001291.1",1523,3087,"-",,,"HEP_00450900","VWU52545.1",520,"conserved protein, unknown function, partial"
"Un","CABPSV020001292.1",772,2046,"-",,,"HEP_00451000","VWU52546.1",357,"casein kinase II beta chain"
"Un","CABPSV020001293.1",2,2200,"-",,,"HEP_00451100","VWU52547.1",733,"hypothetical protein HEP_00451100, partial"
"Un","CABPSV020001294.1",1511,2299,"-",,,"HEP_00451200","VWU52548.1",149,"calmodulin, putative"
"Un","CABPSV020001295.1",2600,3051,"-",,,"HEP_00451300","VWU52549.1",149,"hypothetical protein HEP_00451300, partial"
"Un","CABPSV020001296.1",82,1881,"-",,,"HEP_00451400","VWU52550.1",599,"serine--tRNA ligase, putative"
"Un","CABPSV020001297.1",1239,2833,"-",,,"HEP_00451500","VWU52551.1",356,"kelch protein, putative"
"Un","CABPSV020001298.1",2078,2776,"-",,,"HEP_00451600","VWU52552.1",232,"conserved protein, unknown function"
"Un","CABPSV020001299.1",382,2061,"-",,,"HEP_00451700","VWU52553.1",190,"GPI transamidase subunit PIG-U, putative, partial"
"Un","CABPSV020000013.1",1386,7070,"-",,,"HEP_00017000","VWU48246.1",1296,"3\\',5\\'-cyclic nucleotide phosphodiesterase, putative"
"Un","CABPSV020000013.1",7744,10714,"-",,,"HEP_00017100","VWU48247.1",296,"palmitoyltransferase DHHC8, putative"
"Un","CABPSV020000013.1",11047,21126,"-",,,"HEP_00017200","VWU48248.1",3359,"conserved membrane protein, unknown function"
"Un","CABPSV020000013.1",21579,22305,"-",,,"HEP_00017300","VWU48249.1",78,"conserved protein, unknown function"
"Un","CABPSV020000013.1",23745,25727,"-",,,"HEP_00017400","VWU48250.1",660,"conserved protein, unknown function"
"Un","CABPSV020000013.1",27802,29103,"-",,,"HEP_00017500","VWU48251.1",128,"RNA-binding protein, putative"
"Un","CABPSV020000013.1",29523,31224,"-",,,"HEP_00017600","VWU48252.1",427,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative"
"Un","CABPSV020000013.1",32608,33300,"-",,,"HEP_00017700","VWU48253.1",230,"calcyclin binding protein, putative"
"Un","CABPSV020000013.1",34888,37367,"-",,,"HEP_00017800","VWU48254.1",781,"conserved protein, unknown function"
"Un","CABPSV020000013.1",39780,40151,"-",,,"HEP_00017900","VWU48255.1",73,"ubiquitin-like modifier HUB1, putative"
"Un","CABPSV020000013.1",42146,43106,"-",,,"HEP_00018000","VWU48256.1",210,"conserved protein, unknown function"
"Un","CABPSV020000013.1",47479,49398,"-",,,"HEP_00018100","VWU48257.1",518,"periodic tryptophan protein 1, putative, partial"
"Un","CABPSV020000013.1",50036,51760,"-",,,"HEP_00018200","VWU48258.1",574,"sphingomyelin phosphodiesterase, putative"
"Un","CABPSV020000013.1",52801,55147,"-",,,"HEP_00018300","VWU48259.1",644,"conserved protein, unknown function, partial"
"Un","CABPSV020000130.1",240,2086,"-",,,"HEP_00115900","VWU49221.1",149,"ubiquitin-40S ribosomal protein S27a, putative"
"Un","CABPSV020000130.1",3494,5452,"-",,,"HEP_00116000","VWU49222.1",652,"U1 small nuclear ribonucleoprotein C, putative"
"Un","CABPSV020000130.1",7636,9540,"-",,,"HEP_00116100","VWU49223.1",634,"26S proteasome regulatory subunit RPN6"
"Un","CABPSV020000130.1",10707,11267,"-",,,"HEP_00116200","VWU49224.1",186,"cytochrome c oxidase subunit ApiCOX19, putative"
"Un","CABPSV020000130.1",12829,15315,"-",,,"HEP_00116300","VWU49225.1",828,"conserved protein, unknown function"
"Un","CABPSV020000130.1",16719,20552,"-",,,"HEP_00116400","VWU49226.1",507,"conserved protein, unknown function"
"Un","CABPSV020000130.1",21270,24323,"-",,,"HEP_00116500","VWU49227.1",437,"conserved protein, unknown function"
"Un","CABPSV020000130.1",25747,27069,"-",,,"HEP_00116600","VWU49228.1",440,"choline kinase"
"Un","CABPSV020001300.1",1,1155,"-",,,"HEP_00451800","VWU52554.1",385,"conserved protein, unknown function, partial"
"Un","CABPSV020001300.1",1326,2969,"-",,,"HEP_00451900","VWU52555.1",547,"hypothetical protein HEP_00451900"
"Un","CABPSV020001301.1",812,2848,"-",,,"HEP_00452000","VWU52556.1",669,"schizont egress antigen-1"
"Un","CABPSV020001302.1",2,636,"-",,,"HEP_00452100","VWU52557.1",210,"histone-lysine N-methyltransferase, putative, partial"
"Un","CABPSV020001303.1",106,1458,"-",,,"HEP_00452300","VWU52558.1",451,"hypothetical protein HEP_00452300, partial"
"Un","CABPSV020001303.1",1500,2743,"-",,,"HEP_00452400","VWU52559.1",344,"protein kinase, putative, partial"
"Un","CABPSV020001304.1",108,1870,"-",,,"HEP_00452500","VWU52560.1",587,"conserved protein, unknown function, partial"
"Un","CABPSV020001305.1",22,435,"-",,,"HEP_00452600","VWU52561.1",137,"hypothetical protein HEP_00452600"
"Un","CABPSV020001305.1",463,2931,"-",,,"HEP_00452700","VWU52562.1",822,"protein kinase, putative, partial"
"Un","CABPSV020001306.1",1321,2972,"-",,,"HEP_00452800","VWU52563.1",549,"circumsporozoite- and TRAP-related protein, putative, partial"
"Un","CABPSV020001307.1",302,487,"-",,,"HEP_00452900","VWU52564.1",62,"hypothetical protein HEP_00452900, partial"
"Un","CABPSV020001307.1",2039,2676,"-",,,"HEP_00453000","VWU52565.1",211,"conserved protein, unknown function, partial"
"Un","CABPSV020001308.1",1248,2399,"-",,,"HEP_00453100","VWU52566.1",383,"DNA-directed RNA polymerase II subunit RPB3, putative"
"Un","CABPSV020001309.1",297,2918,"-",,,"HEP_00453200","VWU52567.1",702,"thioredoxin-like protein, putative"
"Un","CABPSV020000131.1",1553,6211,"-",,,"HEP_00116700","VWU49229.1",1552,"conserved protein, unknown function"
"Un","CABPSV020000131.1",12206,16788,"-",,,"HEP_00116800","VWU49230.1",1457,"ATP-dependent RNA helicase, putative"
"Un","CABPSV020000131.1",18411,19824,"-",,,"HEP_00116900","VWU49231.1",254,"MYND-type zinc finger protein, putative"
"Un","CABPSV020000131.1",21417,22331,"-",,,"HEP_00117000","VWU49232.1",304,"liver merozoite formation protein, putative"
"Un","CABPSV020000131.1",23089,26795,"-",,,"HEP_00117100","VWU49233.1",995,"elongation factor G, putative"
"Un","CABPSV020001310.1",1228,2425,"-",,,"HEP_00453300","VWU52568.1",204,"transmembrane emp24 domain-containing protein, putative"
"Un","CABPSV020001311.1",2,384,"-",,,"HEP_00453400","VWU52569.1",126,"conserved protein, unknown function, partial"
"Un","CABPSV020001311.1",2238,2519,"-",,,"HEP_00453500","VWU52570.1",93,"gamete release protein, putative"
"Un","CABPSV020001312.1",110,1204,"-",,,"HEP_00453600","VWU52571.1",364,"adenosine deaminase, putative"
"Un","CABPSV020001313.1",1272,2931,"-",,,"HEP_00453700","VWU52572.1",348,"thioredoxin-like protein, partial"
"Un","CABPSV020001314.1",1,2949,"-",,,"HEP_00453800","VWU52573.1",983,"glutamate dehydrogenase, putative, partial"
"Un","CABPSV020001315.1",2,2735,"-",,,"HEP_00453900","VWU52574.1",911,"secreted ookinete protein, putative, partial"
"Un","CABPSV020001316.1",2,2097,"-",,,"HEP_00454000","VWU52575.1",698,"mRNA binding Pumilio-homology domain protein, putative, partial"
"Un","CABPSV020001317.1",613,2798,"-",,,"HEP_00454100","VWU52576.1",380,"RNA polymerase subunit, putative, partial"
"Un","CABPSV020001318.1",426,2117,"-",,,"HEP_00454200","VWU52577.1",563,"heat shock protein DnaJ, putative"
"Un","CABPSV020001319.1",1592,2370,"-",,,"HEP_00454300","VWU52578.1",97,"conserved protein, unknown function"
"Un","CABPSV020000132.1",1916,2811,"-",,,"HEP_00117200","VWU49234.1",110,"Rab5-interacting protein, putative"
"Un","CABPSV020000132.1",5420,6368,"-",,,"HEP_00117300","VWU49235.1",146,"calmodulin-like protein"
"Un","CABPSV020000132.1",12533,17730,"-",,,"HEP_00117400","VWU49236.1",1602,"conserved membrane protein, unknown function"
"Un","CABPSV020000132.1",19069,26307,"-",,,"HEP_00117500","VWU49237.1",1193,"structural maintenance of chromosomes protein 3, putative"
"Un","CABPSV020000132.1",26923,27017,"-",,,"HEP_00117600","VWU49238.1",32,"ubiquitin carboxyl-terminal hydrolase 13, putative, partial"
"Un","CABPSV020001320.1",1064,1885,"-",,,"HEP_00454400","VWU52579.1",232,"eukaryotic translation initiation factor 3 subunit K, putative"
"Un","CABPSV020001321.1",317,2407,"-",,,"HEP_00454500","VWU52580.1",446,"tubulin beta chain"
"Un","CABPSV020001322.1",1404,2845,"-",,,"HEP_00454600","VWU52581.1",414,"hypothetical protein HEP_00454600, partial"
"Un","CABPSV020001323.1",1,2896,"-",,,"HEP_00454700","VWU52582.1",961,"AP2 domain transcription factor, putative, partial"
"Un","CABPSV020001324.1",1,2895,"-",,,"HEP_00454800","VWU52583.1",775,"THO complex subunit 2, putative, partial"
"Un","CABPSV020001326.1",27,1495,"-",,,"HEP_00454900","VWU52584.1",488,"conserved protein, unknown function, partial"
"Un","CABPSV020001327.1",750,2474,"-",,,"HEP_00455000","VWU52585.1",574,"IWS1-like protein, putative"
"Un","CABPSV020001329.1",199,2664,"-",,,"HEP_00455100","VWU52586.1",572,"conserved protein, unknown function"
"Un","CABPSV020000133.1",434,1372,"-",,,"HEP_00117700","VWU49239.1",200,"conserved protein, unknown function"
"Un","CABPSV020000133.1",1683,3370,"-",,,"HEP_00117800","VWU49240.1",335,"cytoplasmic translation machinery associated protein, putative"
"Un","CABPSV020000133.1",5151,7373,"-",,,"HEP_00117900","VWU49241.1",740,"conserved protein, unknown function"
"Un","CABPSV020000133.1",10639,14692,"-",,,"HEP_00118000","VWU49242.1",1259,"kinesin-13, putative"
"Un","CABPSV020000133.1",15717,20102,"-",,,"HEP_00118100","VWU49243.1",1461,"conserved membrane protein, unknown function"
"Un","CABPSV020000133.1",20972,22202,"-",,,"HEP_00118200","VWU49244.1",153,"NEDD8-conjugating enzyme UBC12, putative"
"Un","CABPSV020000133.1",23232,24239,"-",,,"HEP_00118300","VWU49245.1",335,"mitochondrial ribosomal protein L3 precursor, putative"
"Un","CABPSV020000133.1",25645,26921,"-",,,"HEP_00118400","VWU49246.1",107,"conserved protein, unknown function, partial"
"Un","CABPSV020001330.1",157,346,"-",,,"HEP_00455200","VWU52587.1",63,"hypothetical protein HEP_00455200, partial"
"Un","CABPSV020001330.1",1821,2504,"-",,,"HEP_00455300","VWU52588.1",227,"cyclin"
"Un","CABPSV020001331.1",288,1717,"-",,,"HEP_00455400","VWU52589.1",244,"single-strand telomeric DNA-binding protein GBP2, putative"
"Un","CABPSV020001332.1",143,2191,"-",,,"HEP_00455500","VWU52590.1",310,"NIMA related kinase 4"
"Un","CABPSV020001333.1",1047,2834,"-",,,"HEP_00455600","VWU52591.1",595,"conserved protein, unknown function"
"Un","CABPSV020001334.1",544,2157,"-",,,"HEP_00455700","VWU52592.1",537,"CUGBP Elav-like family member 2, putative"
"Un","CABPSV020001335.1",36,2826,"-",,,"HEP_00455800","VWU52593.1",929,"conserved protein, unknown function, partial"
"Un","CABPSV020001336.1",1125,2735,"-",,,"HEP_00455900","VWU52594.1",327,"conserved protein, unknown function"
"Un","CABPSV020001337.1",1434,2310,"-",,,"HEP_00456000","VWU52595.1",246,"apicoplast ribosomal protein S6, putative"
"Un","CABPSV020001338.1",347,2383,"-",,,"HEP_00456100","VWU52596.1",678,"actin-like protein, putative"
"Un","CABPSV020001339.1",178,772,"-",,,"HEP_00456200","VWU52597.1",52,"conserved protein, unknown function, partial"
"Un","CABPSV020001339.1",1141,2164,"-",,,"HEP_00456300","VWU52598.1",158,"adrenodoxin-type ferredoxin, putative"
"Un","CABPSV020000134.1",518,4342,"-",,,"HEP_00118500","VWU49247.1",1274,"conserved protein, unknown function"
"Un","CABPSV020000134.1",5844,6792,"-",,,"HEP_00118600","VWU49248.1",213,"large ribosomal subunit processing factor, putative"
"Un","CABPSV020000134.1",7760,10273,"-",,,"HEP_00118700","VWU49249.1",518,"DnaJ protein, putative"
"Un","CABPSV020000134.1",12893,13653,"-",,,"HEP_00118800","VWU49250.1",156,"40S ribosomal protein S18, putative"
"Un","CABPSV020000134.1",16119,25712,"-",,,"HEP_00118900","VWU49251.1",3197,"tubulin--tyrosine ligase, putative"
"Un","CABPSV020001340.1",320,2413,"-",,,"HEP_00456400","VWU52599.1",697,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative"
"Un","CABPSV020001341.1",659,1980,"-",,,"HEP_00456500","VWU52600.1",175,"conserved protein, unknown function"
"Un","CABPSV020001342.1",399,2761,"-",,,"HEP_00456600","VWU52601.1",519,"kinesin-8, putative, partial"
"Un","CABPSV020001343.1",2,1026,"-",,,"HEP_00456700","VWU52602.1",341,"merozoite TRAP-like protein, putative, partial"
"Un","CABPSV020001344.1",390,1493,"-",,,"HEP_00456800","VWU52603.1",367,"lysine decarboxylase-like protein, putative"
"Un","CABPSV020001345.1",1096,2445,"-",,,"HEP_00456900","VWU52604.1",449,"apicoplast calcium binding protein 1"
"Un","CABPSV020001346.1",513,1865,"-",,,"HEP_00457000","VWU52605.1",335,"replication factor C subunit 4, putative"
"Un","CABPSV020001347.1",1,799,"-",,,"HEP_00457100","VWU52606.1",165,"U2 snRNA/tRNA pseudouridine synthase, putative, partial"
"Un","CABPSV020001347.1",1693,2586,"-",,,"HEP_00457200","VWU52607.1",297,"proteasome subunit beta type-6, putative"
"Un","CABPSV020001348.1",320,1282,"-",,,"HEP_00457300","VWU52608.1",320,"conserved protein, unknown function"
"Un","CABPSV020001349.1",1702,2664,"-",,,"HEP_00457400","VWU52609.1",320,"subunit of proteaseome activator complex, putative"
"Un","CABPSV020000135.1",889,1650,"-",,,"HEP_00119000","VWU49252.1",253,"hypothetical protein HEP_00119000"
"Un","CABPSV020000135.1",3064,3363,"-",,,"HEP_00119100","VWU49253.1",99,"hypothetical protein HEP_00119100"
"Un","CABPSV020000135.1",5428,6123,"-",,,"HEP_00119200","VWU49254.1",231,"tRNA-splicing endonuclease, putative"
"Un","CABPSV020000135.1",7195,8634,"-",,,"HEP_00119300","VWU49255.1",479,"methyltransferase, putative"
"Un","CABPSV020000135.1",10495,11730,"-",,,"HEP_00119400","VWU49256.1",411,"RNA-binding protein, putative"
"Un","CABPSV020000135.1",13053,13451,"-",,,"HEP_00119500","VWU49257.1",132,"conserved membrane protein, unknown function"
"Un","CABPSV020000135.1",15921,16724,"-",,,"HEP_00119600","VWU49258.1",267,"conserved protein, unknown function"
"Un","CABPSV020000135.1",18159,19034,"-",,,"HEP_00119700","VWU49259.1",291,"bax inhibitor 1, putative"
"Un","CABPSV020000135.1",22814,25513,"-",,,"HEP_00119800","VWU49260.1",787,"conserved protein, unknown function"
"Un","CABPSV020001350.1",119,2748,"-",,,"HEP_00457500","VWU52610.1",875,"60S ribosomal export protein NMD3, putative, partial"
"Un","CABPSV020001351.1",124,2730,"-",,,"HEP_00457600","VWU52611.1",868,"ubiquitin carboxyl-terminal hydrolase 13, putative, partial"
"Un","CABPSV020001352.1",808,2746,"-",,,"HEP_00457700","VWU52612.1",641,"proline--tRNA ligase, partial"
"Un","CABPSV020001353.1",226,788,"-",,,"HEP_00457800","VWU52613.1",99,"hypothetical protein HEP_00457800, partial"
"Un","CABPSV020001354.1",2,2734,"-",,,"HEP_00457900","VWU52614.1",910,"conserved protein, unknown function, partial"
"Un","CABPSV020001356.1",2,606,"-",,,"HEP_00458000","VWU52615.1",200,"conserved protein, unknown function, partial"
"Un","CABPSV020001356.1",1959,2671,"-",,,"HEP_00458100","VWU52616.1",104,"prefoldin subunit, putative, partial"
"Un","CABPSV020001357.1",2,2727,"-",,,"HEP_00458200","VWU52617.1",904,"conserved protein, unknown function, partial"
"Un","CABPSV020001358.1",1464,2710,"-",,,"HEP_00458300","VWU52618.1",414,"RAC-beta serine/threonine protein kinase, partial"
"Un","CABPSV020001359.1",18,1937,"-",,,"HEP_00458400","VWU52619.1",489,"conserved protein, unknown function, partial"
"Un","CABPSV020000136.1",14,8563,"-",,,"HEP_00119900","VWU49261.1",2849,"transcriptional coactivator ADA2"
"Un","CABPSV020000136.1",9773,13612,"-",,,"HEP_00120000","VWU49262.1",1279,"conserved protein, unknown function"
"Un","CABPSV020000136.1",15039,16019,"-",,,"HEP_00120100","VWU49263.1",326,"MO15-related protein kinase"
"Un","CABPSV020000136.1",17772,26411,"-",,,"HEP_00120200","VWU49264.1",2808,"conserved protein, unknown function"
"Un","CABPSV020001360.1",269,1903,"-",,,"HEP_00458500","VWU52620.1",521,"StAR-related lipid transfer protein"
"Un","CABPSV020001361.1",6,2570,"-",,,"HEP_00458600","VWU52621.1",825,"cation transporting P-ATPase, putative"
"Un","CABPSV020001362.1",589,2172,"-",,,"HEP_00458700","VWU52622.1",527,"actin-like protein, putative"
"Un","CABPSV020001363.1",475,2699,"-",,,"HEP_00458800","VWU52623.1",741,"conserved protein, unknown function, partial"
"Un","CABPSV020001364.1",374,2700,"-",,,"HEP_00458900","VWU52624.1",774,"Protein kinase domain/Protein tyrosine kinase, putative, partial"
"Un","CABPSV020001365.1",806,2592,"-",,,"HEP_00459000","VWU52625.1",595,"conserved protein, unknown function, partial"
"Un","CABPSV020001366.1",1090,1999,"-",,,"HEP_00459100","VWU52626.1",274,"exported protein, unknown function"
"Un","CABPSV020001367.1",984,2122,"-",,,"HEP_00459200","VWU52627.1",222,"MerC domain-containing protein, putative"
"Un","CABPSV020001368.1",318,2676,"-",,,"HEP_00459300","VWU52628.1",786,"conserved protein, unknown function, partial"
"Un","CABPSV020001369.1",424,873,"-",,,"HEP_00459400","VWU52629.1",149,"YOP1-like protein, putative"
"Un","CABPSV020000137.1",2,711,"-",,,"HEP_00120250","VWU49265.1",236,"conserved protein, unknown function, partial"
"Un","CABPSV020000137.1",1169,3104,"-",,,"HEP_00120300","VWU49266.1",581,"ribosomal large subunit pseudouridylate synthase, putative"
"Un","CABPSV020000137.1",3715,3996,"-",,,"HEP_00120400","VWU49267.1",93,"conserved protein, unknown function"
"Un","CABPSV020000137.1",6847,9549,"-",,,"HEP_00120500","VWU49268.1",900,"DEAD/DEAH box ATP-dependent RNA helicase, putative"
"Un","CABPSV020000137.1",10993,13974,"-",,,"HEP_00120600","VWU49269.1",680,"nucleotide binding protein, putative"
"Un","CABPSV020000137.1",14520,21336,"-",,,"HEP_00120700","VWU49270.1",1585,"conserved protein, unknown function"
"Un","CABPSV020000137.1",21947,23531,"-",,,"HEP_00120800","VWU49271.1",139,"conserved protein, unknown function"
"Un","CABPSV020000137.1",24195,26159,"-",,,"HEP_00120900","VWU49272.1",654,"conserved protein, unknown function"
"Un","CABPSV020001370.1",1,1906,"-",,,"HEP_00459500","VWU52630.1",635,"FHA domain protein, putative, partial"
